TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,SaleType,EarnedRewardPoints
1,2025-01-09,1020,2023.0,401,0.0,643.02,Rewards,0
3,2025-03-22,1087,2035.0,403,3.0,4313.72,Rewards,0
4,2024-12-27,1186,2015.0,404,,1275.85,Payment,127585
5,2025-04-21,1049,2005.0,402,0.0,1739.64,Rewards,0
6,2024-10-30,1093,2054.0,402,0.0,1270.12,Payment,127012
7,2025-02-20,1005,2097.0,402,0.0,644.45,Rewards,0
8,2024-10-05,1054,2072.0,403,3.0,1833.37,Rewards,0
9,2024-11-22,1063,2068.0,403,3.0,828.83,Payment,82883
10,2024-08-30,1130,2096.0,401,1.0,1594.55,Payment,159455
11,2024-11-11,1005,2059.0,403,0.0,273.38,Rewards,0
12,2025-04-21,1196,2014.0,403,3.0,0.0,Rewards,0
13,2025-02-16,1128,2064.0,401,2.0,1039.94,Rewards,0
14,2024-08-22,1041,2099.0,401,3.0,1861.74,Rewards,0
15,2025-04-19,1078,2035.0,401,3.0,4900.93,Payment,490093
16,2024-12-11,1032,2021.0,403,3.0,1861.38,Payment,186138
17,2025-03-02,1182,2040.0,404,3.0,41.46,Payment,4146
18,2024-10-14,1058,2000.0,401,0.0,1815.57,Payment,181557
19,2025-04-12,1071,2091.0,402,3.0,2628.38,Payment,262838
20,2024-11-07,1005,2052.0,404,0.0,1969.12,Payment,196912
21,2024-07-12,1086,2013.0,402,3.0,1325.7,Payment,132570
22,2024-11-22,1019,2070.0,401,,127.04,Rewards,0
23,2025-05-21,1060,2091.0,404,3.0,1240.87,Rewards,0
24,2024-06-01,1116,2097.0,404,2.0,763.17,Rewards,0
25,2025-02-22,1089,2039.0,404,1.0,2785.23,Rewards,0
26,2025-04-09,1066,2030.0,404,1.0,127.5,Rewards,0
27,2024-07-05,1144,2033.0,402,2.0,821.78,Rewards,0
28,2025-01-24,1080,2009.0,401,0.0,39.84,Rewards,0
29,2024-09-17,1017,2047.0,403,2.0,1975.1,Rewards,0
30,2025-01-16,1020,2013.0,402,0.0,1199.52,Rewards,0
31,2024-09-23,1089,2041.0,404,0.0,2406.09,Payment,240609
32,2024-09-21,1116,2033.0,402,3.0,268.15,Rewards,0
33,2025-05-13,1038,2047.0,402,0.0,1803.01,Rewards,0
34,2025-03-19,1091,2035.0,401,3.0,3872.65,Payment,387265
35,2025-05-06,1116,2022.0,404,,697.76,Rewards,0
36,2025-05-08,1188,2034.0,402,0.0,125.51,Payment,12551
37,2024-11-25,1032,2029.0,402,,55.96,Rewards,0
38,2025-04-13,1071,2065.0,404,2.0,274.92,Rewards,0
39,2025-05-22,1020,2039.0,404,2.0,4929.06,Payment,492906
40,2024-07-19,1048,2079.0,401,1.0,814.88,Payment,81488
41,2025-01-21,1080,2015.0,403,3.0,1409.56,Payment,140956
42,2024-12-15,1005,2022.0,403,0.0,459.86,Rewards,0
43,2025-03-15,1082,2056.0,402,1.0,603.38,Payment,60338
44,2025-01-21,1023,2096.0,402,1.0,337.34,Rewards,0
45,2024-06-21,1156,2009.0,404,1.0,63.76,Rewards,0
46,2024-11-05,1034,2098.0,401,1.0,1918.03,Payment,191803
47,2024-12-07,1071,2015.0,404,3.0,1976.39,Rewards,0
48,2024-12-26,1113,2092.0,404,3.0,1500.13,Payment,150013
49,2024-11-26,1063,2035.0,404,2.0,3710.95,Payment,371095
50,2024-09-05,1138,2023.0,402,1.0,789.03,Payment,78903
51,2024-11-07,1106,2079.0,404,0.0,3945.18,Payment,394518
52,2024-10-30,1089,2079.0,404,1.0,1728.21,Rewards,0
53,2024-11-29,1171,2051.0,402,1.0,1091.54,Payment,109154
54,2025-04-29,1169,2079.0,402,1.0,2205.97,Rewards,0
55,2024-08-27,1194,2035.0,404,0.0,3870.61,Rewards,0
56,2024-06-22,1057,2099.0,401,1.0,89.74,Payment,8974
57,2024-08-03,1066,2027.0,404,2.0,1234.13,Rewards,0
58,2025-02-28,1116,2013.0,401,3.0,3717.57,Payment,371757
59,2024-07-03,1160,2041.0,401,0.0,2427.7,Payment,242770
60,2024-10-26,1087,2079.0,404,2.0,4229.18,Rewards,0
61,2025-02-09,1187,2083.0,403,3.0,1660.18,Payment,166018
62,2024-12-25,1062,2011.0,403,1.0,1161.21,Rewards,0
63,2025-01-23,1126,2023.0,404,2.0,4461.44,Payment,446144
64,2025-02-07,1002,2024.0,401,3.0,1528.42,Payment,152842
65,2025-02-02,1125,2002.0,401,3.0,647.1,Rewards,0
66,2024-12-21,1135,2070.0,403,3.0,45.2,Rewards,0
67,2024-07-20,1066,2097.0,402,3.0,3153.14,Payment,315314
68,2025-03-05,1025,2037.0,402,2.0,1091.56,Payment,109156
69,2024-09-20,1141,2023.0,404,0.0,2612.29,Rewards,0
70,2024-11-16,1034,2091.0,401,3.0,3096.6,Rewards,0
71,2025-01-31,1020,2035.0,401,3.0,4058.33,Rewards,0
72,2024-09-01,1115,2038.0,404,0.0,1493.17,Payment,149317
73,2025-05-14,1071,2019.0,402,0.0,2338.33,Payment,233833
74,2025-02-01,1008,2041.0,404,,1690.5,Payment,169050
75,2025-03-16,1050,2069.0,402,2.0,189.25,Payment,18925
76,2024-08-09,1191,2036.0,404,2.0,1888.22,Rewards,0
77,2024-12-03,1020,2055.0,403,0.0,1925.73,Rewards,0
78,2025-04-03,1005,2086.0,403,1.0,1320.44,Payment,132044
79,2025-05-02,1005,2062.0,401,3.0,1356.76,Rewards,0
80,2025-04-11,1177,2084.0,404,0.0,663.31,Payment,66331
81,2024-10-09,1103,2000.0,404,1.0,1264.14,Payment,126414
82,2024-12-02,1013,2097.0,402,3.0,2681.2,Rewards,0
83,2024-06-13,1061,2039.0,401,0.0,4286.33,Rewards,0
84,2024-07-18,1165,2063.0,403,2.0,990.87,Payment,99087
85,2024-11-25,1037,2076.0,402,2.0,1716.1,Rewards,0
86,2024-10-15,1068,2036.0,403,3.0,920.77,Rewards,0
87,2024-11-29,1195,2058.0,403,1.0,505.45,Rewards,0
88,2025-03-11,1032,2048.0,404,1.0,122.19,Payment,12219
89,2024-12-03,1025,2056.0,401,3.0,331.1,Payment,33110
90,2025-04-16,1019,2033.0,403,3.0,1710.94,Rewards,0
91,2025-04-09,1097,2080.0,404,0.0,507.8,Rewards,0
92,2025-01-31,1058,2055.0,401,0.0,1403.3,Payment,140330
93,2025-04-28,1034,2054.0,404,3.0,4066.34,Rewards,0
94,2024-08-10,1005,2030.0,404,1.0,1293.91,Payment,129391
95,2024-11-22,1119,2086.0,402,,1975.92,Payment,197592
96,2024-09-30,1176,2041.0,402,3.0,2216.14,Payment,221614
97,2024-10-22,1179,2079.0,403,,4002.4,Payment,400240
98,2025-05-23,1190,2036.0,402,2.0,420.76,Rewards,0
99,2024-09-11,1196,2017.0,401,0.0,909.61,Payment,90961
100,2024-12-21,1023,2041.0,404,1.0,4444.07,Payment,444407
101,2024-10-25,1069,2032.0,404,2.0,710.49,Rewards,0
102,2024-07-19,1036,2028.0,404,2.0,819.42,Rewards,0
103,2024-09-16,1089,2086.0,403,2.0,505.95,Payment,50595
104,2024-06-11,1143,2070.0,402,3.0,52.31,Rewards,0
105,2024-11-07,1034,2046.0,401,1.0,61.94,Payment,6194
106,2025-05-15,1138,2095.0,402,0.0,1250.52,Payment,125052
107,2025-05-10,1176,2056.0,404,2.0,1387.08,Payment,138708
108,2024-12-13,1091,2041.0,402,3.0,1454.48,Rewards,0
109,2025-01-09,1012,2031.0,402,1.0,1542.06,Payment,154206
110,2024-08-24,1071,2029.0,401,1.0,85.63,Rewards,0
111,2025-03-20,1034,2054.0,402,0.0,735.8,Payment,73580
112,2025-02-25,1190,2091.0,403,0.0,1496.97,Payment,149697
113,2024-12-30,1168,2058.0,401,,833.15,Rewards,0
114,2025-01-31,1113,2019.0,403,0.0,3309.43,Rewards,0
115,2024-12-23,1097,2067.0,403,3.0,1418.47,Payment,141847
116,2025-04-09,1196,2027.0,404,1.0,1663.47,Rewards,0
117,2024-11-04,1080,2085.0,403,1.0,974.82,Payment,97482
118,2024-07-09,1005,2054.0,402,2.0,2348.64,Payment,234864
119,2025-04-17,1108,2092.0,401,2.0,1176.94,Payment,117694
120,2024-08-27,1057,2044.0,403,2.0,1624.08,Rewards,0
121,2025-04-06,1159,2082.0,401,2.0,582.88,Rewards,0
122,2025-03-06,1089,2023.0,404,,4873.15,Rewards,0
123,2024-07-09,1096,2043.0,402,2.0,1156.81,Payment,115681
124,2024-07-06,1116,2006.0,401,3.0,911.99,Payment,91199
125,2024-09-20,1029,2009.0,403,3.0,53.18,Payment,5318
126,2024-08-30,1014,2041.0,402,2.0,1039.93,Rewards,0
127,2024-12-02,1033,2090.0,402,2.0,1730.44,Rewards,0
128,2024-06-19,1066,2073.0,404,3.0,839.81,Payment,83981
129,2025-05-20,1032,2046.0,401,0.0,92.44,Payment,9244
130,2024-12-08,1079,2028.0,403,0.0,272.35,Rewards,0
131,2024-12-06,1089,2082.0,402,1.0,388.32,Payment,38832
132,2024-08-03,1019,2091.0,404,3.0,4469.22,Payment,446922
133,2025-01-11,1082,2080.0,403,0.0,1281.2,Rewards,0
134,2025-03-19,1090,2039.0,404,0.0,1791.85,Payment,179185
135,2025-01-11,1023,2064.0,404,0.0,1629.14,Payment,162914
136,2025-01-15,1121,2007.0,404,2.0,214.44,Payment,21444
137,2025-01-12,1032,2067.0,402,2.0,1560.21,Payment,156021
138,2025-01-28,1089,2019.0,404,1.0,3122.33,Rewards,0
139,2024-07-29,1167,2050.0,402,0.0,784.52,Rewards,0
140,2025-03-17,1171,2094.0,401,3.0,85.55,Rewards,0
141,2024-10-04,1087,2062.0,402,1.0,626.79,Payment,62679
142,2025-03-15,1138,2067.0,401,1.0,350.79,Rewards,0
143,2024-08-15,1159,2021.0,404,,1453.19,Rewards,0
144,2025-05-22,1192,2057.0,402,2.0,1579.52,Payment,157952
145,2025-04-28,1032,2036.0,404,3.0,1642.94,Rewards,0
